date,price,petroleum,dolar,covid
2016-10-01,3.468,48.3,3.1893,0
2016-11-01,3.507,50.47,3.3842,0
2016-12-01,3.573,56.82,3.2547,0
2017-01-01,3.628,55.7,3.1509,0
2017-02-01,3.615,55.59,3.1091,0
2017-03-01,3.536,52.83,3.1233,0
2017-04-01,3.457,51.73,3.1767,0
2017-05-01,3.415,50.31,3.2266,0
2017-06-01,3.327,47.92,3.3072,0
2017-07-01,3.334,52.65,3.1264,0
2017-08-01,3.56,52.38,3.1479,0
2017-09-01,3.643,57.54,3.1619,0
2017-10-01,3.698,61.37,3.2728,0
2017-11-01,3.818,63.57,3.2727,0
2017-12-01,3.92,66.87,3.3125,0
2018-01-01,3.998,69.05,3.1859,0
2018-02-01,4.004,65.78,3.2462,0
2018-03-01,3.99,70.27,3.3051,0
2018-04-01,4.014,75.17,3.5072,0
2018-05-01,4.08,77.59,3.7235,0
2018-06-01,4.34,79.44,3.8771,0
2018-07-01,4.258,74.25,3.7564,0
2018-08-01,4.214,77.42,4.0556,0
2018-09-01,4.399,82.72,4.0491,0
2018-10-01,4.499,75.47,3.722,0
2018-11-01,4.372,58.71,3.8669,0
2018-12-01,4.148,53.8,3.8812,0
2019-01-01,4.058,61.89,3.644,0
2019-02-01,3.974,66.03,3.7514,0
2019-03-01,4.056,68.39,3.9247,0
2019-04-01,4.168,72.8,3.9215,0
2019-05-01,4.267,64.49,3.9228,0
2019-06-01,4.193,66.55,3.852,0
2019-07-01,4.111,65.17,3.8129,0
2019-08-01,4.083,60.43,4.1454,0
2019-09-01,4.087,60.78,4.1556,0
2019-10-01,4.141,60.23,4.0184,0
2019-11-01,4.176,62.43,4.2367,0
2019-12-01,4.316,66.0,4.0195,0
2020-01-01,4.39,58.16,4.2824,0
2020-02-01,4.374,50.52,4.4735,0
2020-03-01,4.283,22.74,5.2054,0
2020-04-01,3.909,25.27,5.4876,1
2020-05-01,3.684,35.33,5.337,1
2020-06-01,3.798,41.15,5.4672,1
2020-07-01,3.936,43.3,5.2242,1
2020-08-01,4.007,45.28,5.4928,1
2020-09-01,4.105499999999999,40.95,5.612,1
2020-10-01,4.204,37.46,5.746,1
2020-11-01,4.195,47.59,5.3323,1
2020-12-01,4.221,51.8,5.194,1
2021-01-01,4.336,55.88,5.463,1
2021-02-01,4.639,66.13,5.5989,1
2021-03-01,5.215,63.54,5.6333,1
2021-04-01,5.221,67.25,5.4368,1
2021-05-01,5.35,69.32,5.2183,1
2021-06-01,5.398,75.13,4.9696,1
2021-07-01,5.474,76.33,5.2134,1
2021-08-01,5.59,72.99,5.1508,1
2021-09-01,5.755,78.52,5.4433,1
2021-10-01,5.999,84.38,5.6388,1
2021-11-01,6.397,70.57,5.6244,1
2021-12-01,6.349,77.78,5.5713,1
2022-01-01,6.354,91.21,5.3046,1
2022-02-01,6.328,100.99,5.1599,1
2022-03-01,6.678,107.91,4.739,1
2022-04-01,6.934,109.34,4.9721,1
2022-05-01,6.93,122.84,4.7315,1
2022-06-01,6.84,114.81,5.2562,1
2022-07-01,6.84,110.01,5.1759,1
